# index 0: u''=-u
0.0451138 0.0450985 0.998983 
0.0452654 0.0452499 0.998976 
0.045417 0.0454014 0.998969 
0.0455687 0.0455529 0.998962 
0.0457203 0.0457044 0.998955 
0.045872 0.0458559 0.998948 
0.0460236 0.0460074 0.998941 
0.0461752 0.0461588 0.998934 
0.0463269 0.0463103 0.998927 
0.0464785 0.0464618 0.99892 
0.0466302 0.0466133 0.998913 
0.0467818 0.0467647 0.998906 
0.0469334 0.0469162 0.998899 
0.0470851 0.0470677 0.998892 
0.0472367 0.0472191 0.998885 
0.0473884 0.0473706 0.998877 
0.04754 0.0475221 0.99887 
0.0476916 0.0476736 0.998863 
0.0478433 0.047825 0.998856 
0.0479949 0.0479765 0.998848 
0.0481465 0.0481279 0.998841 
0.0482982 0.0482794 0.998834 
0.0484498 0.0484309 0.998827 
0.0486015 0.0485823 0.998819 
0.0487531 0.0487338 0.998812 
0.0489047 0.0488852 0.998804 
0.0490564 0.0490367 0.998797 
0.049208 0.0491882 0.99879 
0.0493597 0.0493396 0.998782 
0.0495113 0.0494911 0.998775 
0.0496629 0.0496425 0.998767 
0.0498146 0.049794 0.99876 
0.0499662 0.0499454 0.998752 
0.0501179 0.0500969 0.998744 
0.0502695 0.0502483 0.998737 
0.0504211 0.0503998 0.998729 
0.0505728 0.0505512 0.998721 
0.0507244 0.0507027 0.998714 
0.050876 0.0508541 0.998706 
0.0510277 0.0510055 0.998698 
0.0511793 0.051157 0.998691 
0.051331 0.0513084 0.998683 
0.0514826 0.0514599 0.998675 
0.0516342 0.0516113 0.998667 
0.0517859 0.0517627 0.998659 
0.0519375 0.0519142 0.998652 
0.0520892 0.0520656 0.998644 
0.0522408 0.052217 0.998636 
0.0523924 0.0523685 0.998628 
0.0525441 0.0525199 0.99862 
0.0526957 0.0526713 0.998612 
0.0528474 0.0528228 0.998604 
0.052999 0.0529742 0.998596 
0.0531506 0.0531256 0.998588 
0.0533023 0.053277 0.99858 
0.0534539 0.0534285 0.998572 
0.0536055 0.0535799 0.998564 
0.0537572 0.0537313 0.998555 
0.0539088 0.0538827 0.998547 
0.0540605 0.0540341 0.998539 
0.0542121 0.0541856 0.998531 
0.0543637 0.054337 0.998523 
0.0545154 0.0544884 0.998514 
0.054667 0.0546398 0.998506 
0.0548187 0.0547912 0.998498 
